FECHA DE INICIO;HORA;JUEGO;CANTIDAD;CATEGORIA;VALOR;DESCRIPCION;Nombreimagen
24/08/2024;12:29:18 p. m.;ZOMBIES;4;TERROR;35000;Fabuloso juego de zombies para jugar  con hasta 4 jugadores deberas sobrevivir a oleadas de zombies  para ganar;zombie.jpg
24/08/2024;12:00:00 a. m.;HAMBURGUESAS;4;FAMILIAR;15000;COCINA CON TU FAMILIA EN VEZX DE COCINA EN CASA XD;hamburguesa.jpg
25/08/2024;1:00:00 a. m.;BOXEO;4;FAMILIAR;35000;Fabuloso juego de zombies para jugar  con hasta 4 jugadores deberas sobrevivir a oleadas de zombies  para ganar;creed.jpg
26/08/2024;2:00:00 a. m.;BOXEO2;4;FAMILIAR;35000;COCINA CON TU FAMILIA EN VEZX DE COCINA EN CASA XD;creed.jpg
27/08/2024;3:00:00 a. m.;OVERKILL;4;FAMILIAR;35000;Fabuloso juego de zombies para jugar  con hasta 4 jugadores deberas sobrevivir a oleadas de zombies  para ganar;overkill.jpg
28/08/2024;4:00:00 a. m.;RAKET;4;FAMILIAR;35000;COCINA CON TU FAMILIA EN VEZX DE COCINA EN CASA XD;raket.jpg
29/08/2024;5:00:00 a. m.;DEMEO1;4;FAMILIAR;35000;Fabuloso juego de zombies para jugar  con hasta 4 jugadores deberas sobrevivir a oleadas de zombies  para ganar;Demeo.jpg
30/08/2024;6:00:00 a. m.;ZOBIE;4;FAMILIAR;35000;COCINA CON TU FAMILIA EN VEZX DE COCINA EN CASA XD;zombie.jpg
31/08/2024;7:00:00 a. m.;OVERKILL;4;FAMILIAR;35000;Fabuloso juego de zombies para jugar  con hasta 4 jugadores deberas sobrevivir a oleadas de zombies  para ganar;overkill.jpg
1/09/2024;8:00:00 a. m.;HAMBURGUESAS2;4;FAMILIAR;35000;Fabuloso juego de zombies para jugar  con hasta 4 jugadores deberas sobrevivir a oleadas de zombies  para ganar;hamburguesa.jpg
2/09/2024;9:00:00 a. m.;RAKET;4;FAMILIAR;35000;COCINA CON TU FAMILIA EN VEZX DE COCINA EN CASA XD;raket.jpg
24/08/2024;12:00:00 a. m.;HAMBURGUESAS3;4;FAMILIAR;15000;COCINA CON TU FAMILIA EN VEZX DE COCINA EN CASA XD;hamburguesa.jpg
25/08/2024;1:00:00 a. m.;BOXEO3;4;FAMILIAR;35000;Fabuloso juego de zombies para jugar  con hasta 4 jugadores deberas sobrevivir a oleadas de zombies  para ganar;creed.jpg
26/08/2024;2:00:00 a. m.;BOXEO4;4;FAMILIAR;35000;COCINA CON TU FAMILIA EN VEZX DE COCINA EN CASA XD;creed.jpg
27/08/2024;3:00:00 a. m.;OVERKILL1;4;FAMILIAR;35000;Fabuloso juego de zombies para jugar  con hasta 4 jugadores deberas sobrevivir a oleadas de zombies  para ganar;overkill.jpg
28/08/2024;4:00:00 a. m.;RAKET2;4;FAMILIAR;35000;COCINA CON TU FAMILIA EN VEZX DE COCINA EN CASA XD;raket.jpg
29/08/2024;5:00:00 a. m.;DEMEO2;4;FAMILIAR;35000;Fabuloso juego de zombies para jugar  con hasta 4 jugadores deberas sobrevivir a oleadas de zombies  para ganar;Demeo.jpg
30/08/2024;6:00:00 a. m.;ZOBIE2;4;FAMILIAR;35000;COCINA CON TU FAMILIA EN VEZX DE COCINA EN CASA XD;zombie.jpg
31/08/2024;7:00:00 a. m.;OVERKILL3;4;FAMILIAR;35000;Fabuloso juego de zombies para jugar  con hasta 4 jugadores deberas sobrevivir a oleadas de zombies  para ganar;overkill.jpg
1/09/2024;8:00:00 a. m.;HAMBURGUESAS4;4;FAMILIAR;35000;Fabuloso juego de zombies para jugar  con hasta 4 jugadores deberas sobrevivir a oleadas de zombies  para ganar;hamburguesa.jpg
